domain,protocol,ip_addr,get_period,average_word_len,path_length,check_double_slash,containsAt,sub_dir,containsHyphen,countQueries,Label
sekabetgiriskayit.blogspot.com,0,0,0,0,0,0,0,3,0,0,1
kidscoloringpdf.com,0,0,0,0,1,1,0,8,1,0,1
kashmir-packages.com,0,0,0,1,0,1,0,5,2,2,1
newsimdigital.com,0,0,0,0,0,1,0,3,0,0,1
secure07c-secure-user-verification.serveuser.com,0,0,0,0,0,0,0,5,3,0,1
stg.qureshimedia.com,0,0,0,1,0,1,0,6,1,1,1
three-keychain-info.co.uk,0,0,0,0,0,0,0,2,2,0,1
halifax-payee-security.net,0,0,0,0,0,0,0,3,2,0,1
sepcial-updater.com,0,0,0,0,0,1,0,3,1,0,1
sdhjhkjkjhgfd.com,0,0,0,0,0,1,0,3,0,0,1
halifax.secure-verified-login.com,0,0,0,0,0,1,0,3,2,0,1
qanfin.com,0,0,0,1,1,1,1,3,6,2,1
docs.google.com,0,0,0,0,1,0,0,7,0,0,1
emyturk.com,0,0,0,1,1,0,0,6,0,0,1
halifax-devicedetected.com,0,0,0,0,0,0,0,3,1,0,1
rakuten.co.jp1.wlkheiklsdasdasd123.buzz,0,0,0,0,0,0,0,3,0,0,1
halifax-onlineuk.com,0,0,0,0,0,0,0,3,1,0,1
cnatamil.com,0,0,0,0,1,1,0,6,0,0,1
grottedisaledesenzano.com,0,0,0,0,0,1,0,3,0,0,1
hutoknepper.de,0,0,0,0,0,1,0,3,1,0,1
antommaths.com,0,0,0,0,1,1,0,9,1,0,1
stolizaparketa.ru,0,0,1,0,1,1,1,9,1,0,1
gpneledlight.com,0,0,0,1,1,1,0,8,3,6,1
mapadamente.com.br,0,0,0,0,0,1,0,2,0,0,1
lloyds-confirmdevice.com,0,0,0,0,0,1,0,3,1,0,1
helpdesk-halifax.com,0,0,0,0,0,0,0,3,1,0,1
secure.runescape.com-as.ru,0,0,0,1,1,0,0,4,1,0,1
ct11.my.sofftbank.top,0,0,0,0,0,0,0,4,0,0,1
qpuwnzrvtumivgiqbooxognxwz-dot-triple-upgrade-293822.rj.r.appspot.com,0,0,0,1,0,1,0,3,4,0,1
halifax-logindetected.com,0,0,0,0,0,0,0,3,1,0,1
keep.simply-winspace.it,0,0,0,0,0,1,0,5,1,0,1
taijishentie.com,0,0,1,0,0,1,0,12,0,2,1
aflbd.net,0,0,0,0,0,1,0,5,0,0,1
worksitehealthsolutions.org,0,0,0,0,1,1,0,5,1,0,1
satkom.id,0,0,0,0,0,1,0,4,0,0,1
sura.careervidi.com,0,0,0,1,0,0,1,4,0,0,1
kandyleisure.lk,0,0,0,0,1,1,0,7,1,0,1
sites.google.com,0,0,0,0,1,0,0,5,0,0,1
bankloginonline.com,0,0,0,0,0,0,0,3,1,0,1
sges.jigsy.com,0,0,0,0,0,1,0,3,0,0,1
halifax.reset-device.com,0,0,0,0,0,0,0,3,1,0,1
doapositioning.com,0,0,0,1,1,1,0,6,1,2,1
secure273.inmotionhosting.com,0,0,0,0,1,0,0,6,0,0,1
info.lionnets.com,0,0,0,1,0,1,0,3,0,1,1
qubectravel.com,0,0,0,0,0,1,0,4,0,0,1
mfe3.hyperphp.com,0,0,0,0,0,1,0,3,0,0,1
ariesgrupoconstructor.com,0,0,0,0,0,1,0,4,0,0,1
giftraaga.com,0,0,0,0,0,1,0,4,2,0,1
halifaxmanagepayee.com,0,0,0,0,0,0,0,3,0,0,1
smcc-cacc.iydxk.com,0,0,0,0,0,1,0,3,1,0,1
old.partiesunlimited.net,0,0,0,0,1,1,0,6,0,0,1
device-check-halifax.com,0,0,0,0,0,1,0,3,2,0,1
docs.google.com,0,0,0,0,1,0,0,6,0,0,1
corptoduct4.shockbyte.games,0,0,0,0,0,1,0,5,0,1,1
arushaone.co.tz,0,0,0,1,1,0,0,7,4,0,1
faeboooks.com,0,0,0,0,0,1,0,3,0,0,1
ogdcl.devlums.com,0,0,0,0,1,0,0,5,0,0,1
